ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1546,ANALISIS DE CIRCUITOS ELECTRICOS,11,5.5,,1
1547,DINAMICA DE SISTEMAS FISICOS,9,4.5,,1
1548,CALCULO DE AJUSTES,6,3,,1
1549,TEORIA ELECTROMAGNETICA,11,5.5,,1
1550,ANALISIS DE CIRCUITOS,10,5,,1
1551,DISEÑO DE SISTEMAS DIGITALES,11,5.5,,1
1552,ESTRUCTURAS DISCRETAS,9,4.5,,1
1553,INGENIERIA DE SOFTWARE,9,4.5,,1
1554,SISTEMAS OPERATIVOS,9,4.5,,1
1555,FUNDAMENTOS DE MECANICA MEDIO CONTIN,6,3,,1
1556,VARIABLE COMPLEJA APLICADA GEOFIS.,9,4.5,,1
1557,ANALISIS QUIMICO,6,3,,1
1558,LEGISLACION APLICADA A LA MINERIA,6,3,,1
1559,TOPOGRAFIA PARA MINEROS,12,6,,1
1560,ANALISIS DE SEÑALES ALEATORIAS,6,3,,1
1561,CAMPOS Y ONDAS,6,3,,1
1562,CIRCUITOS ELECTRICOS,8,4,,1
1563,DISPOSITIVOS DE RF,8,4,,1
1564,ELEMENTOS DE CONTROL,8,4,,1
1565,FUNDAMENTOS DE SISTEMAS COMUNICAC.,11,5.5,,1
1566,SEDIMENTOLOGIA,9,4.5,,1
1567,TEORIA GENERAL DE SISTEMAS,6,3,,1
1568,CIENCIA DE MATERIALES,10,5,,1
1569,ESTADISTICA,8,4,,1
1570,INGENIERIA DE MATERIALES,10,5,,1
1571,INTRODUCC A  ANATOMIA Y FISIOLOG I,8,4,,1
1572,GEOLOGIA ESTRUCTURAL,8,4,,1
1573,GEOQUIMICA,8,4,,1
1574,MINERALOGIA OPTICA,9,4.5,,1
1575,GEOLOGIA DE CAMPO Y CARTOGRAFIA,6,3,,1
1576,GEOMORFOLOGIA,8,4,,1
1577,PROSPECCION GEOFISICA REGIST POZOS,9,4.5,,1
1578,SISTEMAS DE INFORMACION GEOGRAFICA,9,4.5,,1
1579,TECTONICA,8,4,,1
157,COMPORTAMIENTO DE YACIMIENTO,9,4.5,,1
1580,GEOLOGIA AMBIENTAL,8,4,,1
1581,HIDRAULICA E HIDROLOGIA,9,4.5,,1
1582,GEOLOGIA DEL SUBSUELO,8,4,,1
1583,MECANICA DE ROCAS,8,4,,1
1584,GEOESTADISTICA,8,4,,1
1585,GEOLOGIA HISTORICA,8,4,,1
1586,PROYECTOS DE INGENIERIA GEOLOGICA,8,4,,1
1587,GEOLOGIA DE MEXICO,8,4,,1
1588,BOMBEO Y COMPRESION DE HIDROCARBURO,8,4,,1
1589,PRINCIPIOS DE MECANICA DE YACIMIENT.,8,4,,1
1590,COMPUTACION GRAFICA E INTERAC.HUMANO,10,5,,1
1591,REGISTROS GEOFISICOS EN POZOS,10,5,,1
1592,ANALISIS DE CIRCUITOS ELECTRICOS,10,5,,1
1593,ESTADISTICA ING.ELECTRICA ELECTRONIC,4,2,,1
1594,FISICA DE SEMICONDUCTORES,8,4,,1
1595,INGENIERIA AMBIENTAL I,6,3,,1
1596,PROGRAMACION Y PRESUPUESTACION,6,3,,1
1598,REDES DE DATOS SEGURAS,14,7,,1
1599,FUNDAMENTOS DE CATASTRO,8,4,,1
1601,COMPORTAMIENTO DE SUELOS,9,4.5,,1
1608,MOVIMIENTO DE TIERRAS,6,3,,1
1617,DISEÑO DIGITAL,10,5,,1
1618,DISPOSITIVOS-CIRCUITOS ELECTRONICOS,10,5,,1
1624,ENERGIA E IMPACTO AMBIENTAL,8,4,,1
1625,FISICOQUIMICA,8,4,,1
1626,PETROLOGIA,8,4,,1
1628,QUIMICA APLICADA,7,3.5,,1
1637,TEORIA DE LOS ERRORES,6,3,,1
1638,FOTOGRAMETRIA II,12,6,,1
1639,ANALISIS ESPECTRAL SEÑALES,9,4.5,,1
163,ESTADISTICA APLICADA,8,4,,1
1641,TEORIA POTENCIAL APL.GEOFIS.,9,4.5,,1
1642,MINERALOGIA OPTICA-TEC.DETER,6,3,,1
1643,ADMINISTRACION PROYECTOS SOFTWARE,8,4,,1
1644,BASES DE DATOS,14,7,,1
1645,DISEÑO DIGITAL MODERNO,10,5,,1
1646,GEODESIA III,9,4.5,,1
1647,SISTEMAS DE POSICIONAMIENTO GLOBAL,8,4,,1
1648,GESTION AMBIENTAL,6,3,,1
1649,LEGISLACION APLIC.INGENIERIA GEOMAT.,6,3,,1
1652,SISTEMAS INFORMACION GEOGRAFICA I,9,4.5,,1
1653,TEORIA DE LOS ERRORES II,6,3,,1
1654,DISPOSITIVOS Y CIRCUITOS ELECTRON.,11,5.5,,1
1655,FUNDAMENTOS DE CONTROL,11,5.5,,1
1656,MAQUINAS ELECTRICAS I,11,5.5,,1
1657,SISTEMAS COMUNICACIONES ELECTRONIC,11,5.5,,1
1659,MECANISMOS,8,4,,1
1660,METALURGIA FISICA,10,5,,1
1661,CARACTERIZ. ESTATICA DE YACIMIENTOS,9,4.5,,1
1662,ELEMENTOS DE PERFORACION DE POZOS,10,5,,1
1663,FLUJO MULTIFASICO EN TUBERIAS,9,4.5,,1
1664,PLANEAC. ADMON. PROYEC. CIENC.TIERRA,6,3,,1
1665,PRODUCTIVIDAD DE POZOS,9,4.5,,1
1666,PROGRAMACION AVANZADA,6,3,,1
1667,INGENIERIA DE SISTEMAS,9,4.5,,1
1668,PLANEAC.INSTALAC.SISTEMAS BIOENERG.,6,3,,1
