ID_ESTRUCTURA,ID_PLAN,ID_ASIGNATURA,TIPO,ID_SEMESTRE,LABORATORIO
40611555,4061,1555,OBL,4,0
40610387,4061,0387,OBL,5,0
40610466,4061,0466,OBL,5,0
40611402,4061,1402,OBL,5,0
40611413,4061,1413,OBL,5,0
40611595,4061,1595,OBL,5,0
40611596,4061,1596,OBL,5,0
40611052,4061,1052,OBL,6,0
40611601,4061,1601,OBL,6,0
40611730,4061,1730,OBL,6,0
40611731,4061,1731,OBL,6,0
40612600,4061,2600,OBL,6,0
40612601,4061,2601,OBL,6,0
40610032,4061,0032,OBL,7,0
40610642,4061,0642,OBL,7,0
40611507,4061,1507,OBL,7,0
40611608,4061,1608,OBL,7,0
40611703,4061,1703,OBL,7,0
40611714,4061,1714,OBL,7,0
40610152,4061,0152,OBL,8,0
40610234,4061,0234,OBL,8,0
40610379,4061,0379,OBL,8,0
40612800,4061,2800,OBL,8,0
40612801,4061,2801,OBL,8,0
40612803,4061,2803,OBL,8,0
40610230,4061,0230,OBL,9,0
40610610,4061,0610,OBL,9,0
40611935,4061,1935,OBL,9,0
40612080,4061,2080,OBL,9,0
40612156,4061,2156,OBL,9,0
40612913,4061,2913,OBL,9,0
40611760,4061,1760,OBL,10,0
40612915,4061,2915,OBL,10,0
40612916,4061,2916,OBL,10,0
40610274,4061,0274,OPT,0,0
40612061,4061,2061,OPT,0,0
40612700,4061,2700,OPT,0,0
40613025,4061,3025,OPT,0,0
40613026,4061,3026,OPT,0,0
40613027,4061,3027,OPT,0,0
40613028,4061,3028,OPT,0,0
40613029,4061,3029,OPT,0,0
40613030,4061,3030,OPT,0,0
40613031,4061,3031,OPT,0,0
40613032,4061,3032,OPT,0,0
40613033,4061,3033,OPT,0,0
40613034,4061,3034,OPT,0,0
40613035,4061,3035,OPT,0,0
40613036,4061,3036,OPT,0,0
40613037,4061,3037,OPT,0,0
40613038,4061,3038,OPT,0,0
40613039,4061,3039,OPT,0,0
40613040,4061,3040,OPT,0,0
40613041,4061,3041,OPT,0,0
40613042,4061,3042,OPT,0,0
40613043,4061,3043,OPT,0,0
40613044,4061,3044,OPT,0,0
40613045,4061,3045,OPT,0,0
40613046,4061,3046,OPT,0,0
40613047,4061,3047,OPT,0,0
40613048,4061,3048,OPT,0,0
40613049,4061,3049,OPT,0,0
40613050,4061,3050,OPT,0,0
40613058,4061,3058,OPT,0,0
40613059,4061,3059,OPT,0,0
40613060,4061,3060,OPT,0,0
40613061,4061,3061,OPT,0,0
40613062,4061,3062,OPT,0,0
40613063,4061,3063,OPT,0,0
40611055,4061,1055,OPT,0,0
40611789,4061,1789,OPT,0,0
40611790,4061,1790,OPT,0,0
40611791,4061,1791,OPT,0,0
40611792,4061,1792,OPT,0,0
40611793,4061,1793,OPT,0,0
40611794,4061,1794,OPT,0,0
40611795,4061,1795,OPT,0,0
40611796,4061,1796,OPT,0,0
40613051,4061,3051,OPT,0,0
40613052,4061,3052,OPT,0,0
40613053,4061,3053,OPT,0,0
40613054,4061,3054,OPT,0,0
40613055,4061,3055,OPT,0,0
40613056,4061,3056,OPT,0,0
40613057,4061,3057,OPT,0,0
40621120,4062,1120,OBL,1,0
40621121,4062,1121,OBL,1,0
40621124,4062,1124,OBL,1,0
40621127,4062,1127,OBL,1,0
40621128,4062,1128,OBL,1,0
40621220,4062,1220,OBL,2,0
40621221,4062,1221,OBL,2,0
40621222,4062,1222,OBL,2,0
40621223,4062,1223,OBL,2,0
